City,Device.Category,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Charlottesville,desktop,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Charlottesville,mobile,1,1,1,0.00%,2,0:02:05,0.00%,0,$0.00 ,20180819
Newport News,desktop,1,1,1,0.00%,10,0:06:47,0.00%,0,$0.00 ,20180819
Virginia Beach,mobile,1,0,1,0.00%,18,0:38:44,0.00%,0,$0.00 ,20180819
Seattle,mobile,1,1,1,0.00%,2,0:00:44,0.00%,0,$0.00 ,20180819
Fearrington,mobile,1,0,1,0.00%,4,0:05:19,0.00%,0,$0.00 ,20180819
Fearrington,tablet,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Friendly,mobile,1,0,1,0.00%,3,0:23:52,0.00%,0,$0.00 ,20180819
Friendly,tablet,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Myrtle Grove,mobile,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
North Druid Hills,desktop,1,0,1,0.00%,3,0:01:31,0.00%,0,$0.00 ,20180819
Panthersville,tablet,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Spokane Valley,desktop,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wheaton-Glenmont,desktop,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
,,452,235,601,42.93%,2.82,0:05:23,0.00%,0,$0.00 ,20180819
Durham,desktop,80,39,98,38.78%,2.49,0:03:07,0.00%,0,$0.00 ,20180826
Durham,mobile,70,27,97,47.42%,2.93,0:06:03,0.00%,0,$0.00 ,20180826
Durham,tablet,41,22,57,43.86%,2.79,0:07:18,0.00%,0,$0.00 ,20180826
Charlotte,mobile,35,15,48,43.75%,2.92,0:05:27,0.00%,0,$0.00 ,20180826
Raleigh,mobile,20,9,27,40.74%,2.85,0:08:22,0.00%,0,$0.00 ,20180826
Atlanta,mobile,15,4,23,47.83%,2.3,0:02:20,0.00%,0,$0.00 ,20180826
Franklin,mobile,10,8,11,72.73%,1.36,0:03:34,0.00%,0,$0.00 ,20180826
Raleigh,desktop,9,3,11,27.27%,4,0:08:55,0.00%,0,$0.00 ,20180826
New York,mobile,8,6,11,36.36%,2.55,0:03:50,0.00%,0,$0.00 ,20180826
Norfolk,mobile,6,4,9,22.22%,3.44,0:06:39,0.00%,0,$0.00 ,20180826
Greensboro,mobile,5,5,5,60.00%,1.4,0:03:02,0.00%,0,$0.00 ,20180826
Cary,desktop,4,2,5,60.00%,1.8,0:01:13,0.00%,0,$0.00 ,20180826
Franklin,desktop,4,1,4,50.00%,1.5,0:04:48,0.00%,0,$0.00 ,20180826
Wake Forest,tablet,4,3,5,60.00%,1.6,0:03:29,0.00%,0,$0.00 ,20180826
Miami,mobile,3,2,4,25.00%,2.5,0:03:02,0.00%,0,$0.00 ,20180826
Charlotte,tablet,3,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Huntersville,mobile,3,3,3,33.33%,2,0:01:39,0.00%,0,$0.00 ,20180826
Mebane,desktop,3,2,5,20.00%,2,0:01:14,0.00%,0,$0.00 ,20180826
Raleigh,tablet,3,2,3,0.00%,16.33,0:32:58,0.00%,0,$0.00 ,20180826
Virginia Beach,mobile,3,1,5,20.00%,3,0:02:48,0.00%,0,$0.00 ,20180826
Atlanta,tablet,2,2,2,50.00%,2,0:01:59,0.00%,0,$0.00 ,20180826
Cary,mobile,2,1,3,33.33%,3.33,0:12:14,0.00%,0,$0.00 ,20180826
Cashiers,tablet,2,1,3,66.67%,1.33,0:00:05,0.00%,0,$0.00 ,20180826
Chapel Hill,mobile,2,1,4,25.00%,4,0:07:09,0.00%,0,$0.00 ,20180826
Fayetteville,mobile,2,1,3,33.33%,3.67,0:11:55,0.00%,0,$0.00 ,20180826
Franklin,tablet,2,1,2,0.00%,3.5,0:15:30,0.00%,0,$0.00 ,20180826
Graham,mobile,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Greensboro,desktop,2,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Hillsborough,desktop,2,1,3,0.00%,2,0:01:00,0.00%,0,$0.00 ,20180826
Hillsborough,tablet,2,2,4,50.00%,2,0:00:59,0.00%,0,$0.00 ,20180826
Mebane,mobile,2,1,3,66.67%,2.67,0:00:26,0.00%,0,$0.00 ,20180826
Sylva,desktop,2,0,3,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180826
Wake Forest,mobile,2,2,3,66.67%,1.33,0:00:02,0.00%,0,$0.00 ,20180826
Wilmington,desktop,2,1,3,33.33%,5.33,0:05:40,0.00%,0,$0.00 ,20180826
